song,bollero,ballad,blue,bossanova,rock,chachacha,fox,rhumba,boston,disco,pop,slow,slowrock,tango,valse
1911,24,10,2,2,2,1,1,1,0,0,0,0,0,0,0
7073,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
769,57,32,9,5,2,2,1,1,0,0,0,0,0,0,0
4618,74,25,14,11,8,6,4,3,3,2,2,1,1,0,0
9460,39,10,10,3,3,2,1,1,1,0,0,0,0,0,0
3368,73,23,13,7,4,3,3,2,2,1,1,1,0,0,0
701,383,126,45,37,35,24,17,11,10,8,7,4,4,2,1
500,3836,1914,1174,1019,927,572,348,167,116,64,53,49,49,47,47
10227,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
276,38,27,18,4,3,2,2,2,1,1,1,1,0,0,0
3198,30,11,4,3,3,3,3,2,1,0,0,0,0,0,0
9,37,15,15,3,3,2,2,2,1,1,1,0,0,0,0
44900,14,8,6,1,0,0,0,0,0,0,0,0,0,0,0
985,51,18,15,7,5,4,4,4,3,3,1,1,0,0,0
4663,16,8,5,4,2,2,2,2,1,0,0,0,0,0,0
2821,28,17,9,6,4,4,4,3,2,2,2,2,1,1,1
7861,233,142,57,22,11,6,5,4,4,3,3,1,1,1,1
3861,173,100,20,11,7,5,5,5,4,3,2,1,1,0,0
15388,247,100,48,16,7,6,3,2,0,0,0,0,0,0,0
4229,38,19,5,4,4,3,3,3,2,0,0,0,0,0,0
4080,414,224,62,52,26,16,16,11,9,5,4,4,4,3,3
3084,11,4,4,3,2,0,0,0,0,0,0,0,0,0,0
5009,20,5,4,1,1,1,1,1,1,0,0,0,0,0,0
5546,39,10,10,4,3,3,3,1,0,0,0,0,0,0,0
4678,18,10,2,2,1,0,0,0,0,0,0,0,0,0,0
47291,59,58,37,9,8,2,2,2,2,0,0,0,0,0,0
4467,65,36,19,14,12,8,3,2,2,2,1,0,0,0,0
4960,365,275,55,26,21,12,7,7,2,1,1,1,1,1,0
4279,89,66,46,12,7,6,5,2,2,2,1,1,1,0,0
